ID,OWNERSHIP,REVENUE,EXPERIENCE,MAIN_PRODUCT,NUM_BANKS,POSITION,COMP1,COMP2,COMP3,COMP4,SPEED1,SPEED2,SPEED3,SPEED4,DIGI1,DIGI2,DIGI3,DIGI4,REPU1,REPU2,REPU3,REPU4,RELA1,RELA2,RELA3,RELA4,STAFF1,STAFF2,STAFF3,STAFF4,COLL1,COLL2,COLL3,COLL4,DEC1,DEC2,DEC3,DEC4,WALLET_SHARE
1,1,2,2,1,2,2,4,4,3,4,2,3,2,4,5,4,4,3,5,4,5,4,4,3,3,4,3,4,4,4,4,4,5,5,4,3,5,4,1
2,4,1,2,1,2,3,4,4,4,3,2,3,2,4,5,5,5,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,4,4,5,5,5,5,3
3,2,2,2,2,1,3,4,3,3,4,4,4,4,3,4,5,5,5,4,5,4,5,4,4,5,4,5,5,5,5,4,4,4,4,4,3,3,3,2
4,2,2,2,1,3,1,4,4,4,4,4,4,3,4,4,3,4,3,4,5,5,5,3,3,3,2,2,3,2,3,5,5,3,4,5,3,3,3,1
5,1,2,1,3,2,1,4,5,4,4,4,4,3,4,4,3,4,4,5,4,5,5,3,2,4,3,5,5,5,5,3,4,4,3,5,5,5,4,3
6,1,3,3,2,3,2,2,2,4,2,4,4,4,3,4,5,4,5,5,5,4,5,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4
7,1,4,1,2,3,2,3,4,4,4,2,3,3,3,2,2,2,2,4,3,3,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,4,3,1
8,3,4,4,1,3,2,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,3,5,5,4,4,4,4,4,4,4,5,5,5,4,4,5,4,2
9,2,2,2,5,2,3,4,3,4,4,4,5,4,4,3,3,3,3,5,4,5,5,3,3,3,3,4,4,3,4,3,4,4,4,3,3,3,4,1
10,2,1,3,2,2,1,5,4,5,4,4,5,5,4,3,3,4,3,5,3,4,4,4,5,4,4,4,5,4,4,4,3,2,3,4,5,4,4,3
11,1,4,4,3,1,1,4,5,4,3,2,2,2,2,3,3,4,4,4,5,3,4,3,4,4,4,3,3,3,2,3,2,3,4,4,3,3,3,2
12,4,3,3,1,2,2,4,4,4,5,4,4,4,3,4,3,3,3,4,4,4,5,2,2,2,1,4,3,4,2,4,4,5,4,3,4,4,4,2
13,3,1,3,2,1,3,3,3,4,3,2,2,2,3,3,3,3,4,4,4,4,5,3,3,3,4,3,4,3,4,3,3,4,4,3,2,4,4,2
14,1,4,2,1,2,2,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,2
15,1,3,2,2,1,3,5,4,4,4,3,4,4,4,5,5,5,5,4,4,4,4,3,3,3,2,5,5,5,5,2,2,3,2,4,5,5,4,4
16,1,2,3,5,1,2,5,5,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4
17,1,2,4,2,1,4,3,3,3,2,4,3,3,4,3,3,4,3,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,2
18,2,2,3,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,5,5,5,4,4,5,5,5,5,4
19,2,1,3,1,3,2,3,3,4,3,2,3,2,2,4,4,4,4,5,5,5,5,4,5,4,4,3,3,3,3,3,3,3,2,4,4,4,5,2
20,1,1,3,2,3,2,3,4,4,3,4,4,4,4,3,3,4,3,4,4,4,4,5,4,5,4,4,5,5,5,3,3,1,3,3,3,2,3,1
21,2,3,3,1,2,2,5,5,3,5,4,3,4,4,3,4,5,5,5,5,5,5,4,5,5,5,3,3,3,2,3,4,3,4,5,4,5,3,3
22,1,1,1,1,1,2,3,4,4,4,5,5,5,4,4,4,4,4,5,5,5,5,3,3,2,3,4,3,4,3,5,5,5,4,4,4,4,4,2
23,1,1,3,3,1,3,4,3,4,3,3,3,2,4,4,3,4,5,4,4,4,4,3,3,5,4,3,3,3,3,3,3,3,4,4,2,4,4,2
24,1,2,4,2,1,3,2,2,3,3,4,4,4,3,4,5,4,5,4,4,4,4,4,2,4,4,4,5,5,4,3,2,3,2,4,3,4,3,2
25,2,2,2,1,1,3,4,4,4,5,4,3,3,3,3,4,3,4,4,5,4,5,4,4,3,4,4,4,5,5,4,4,4,5,4,5,4,5,4
26,3,4,3,4,3,3,3,4,4,4,4,5,4,5,3,3,3,3,5,4,4,5,3,4,4,3,4,4,4,5,3,3,4,4,4,3,3,5,1
27,1,1,2,1,1,2,4,4,3,3,3,3,3,4,3,1,2,2,3,3,4,3,3,4,3,4,3,4,3,3,3,3,2,3,2,2,2,2,2
28,2,1,3,5,2,1,3,3,3,3,4,4,4,3,2,3,2,3,4,3,4,3,5,3,4,4,3,3,3,2,2,3,3,3,3,2,3,3,1
29,2,3,1,1,1,3,4,5,5,3,3,3,4,4,4,3,4,4,4,4,5,4,3,3,4,3,3,3,2,3,5,4,4,5,5,4,4,4,2
30,1,2,3,4,1,2,1,2,2,1,2,2,2,3,3,3,2,3,4,4,4,3,4,3,3,3,4,4,5,4,5,4,4,3,1,2,1,1,3
31,2,1,4,2,2,3,3,4,4,4,4,3,4,3,3,3,3,4,4,5,5,5,3,3,4,4,4,5,5,4,4,3,4,4,4,4,4,4,1
32,1,2,2,3,2,2,4,4,3,3,3,3,3,2,5,5,5,4,4,3,3,3,3,4,3,3,5,4,4,5,4,3,3,3,4,4,4,3,2
33,1,1,3,5,1,1,4,3,3,3,4,4,4,3,5,5,4,4,5,5,4,5,5,4,4,5,3,3,3,3,4,3,3,3,5,5,5,4,4
34,4,1,4,1,1,4,4,4,5,5,3,3,3,3,4,4,4,4,4,2,3,2,5,5,5,4,5,5,5,4,4,3,4,3,5,4,4,4,3
35,4,2,4,5,2,1,3,3,3,3,5,5,5,5,4,4,4,4,3,4,5,4,3,4,5,4,4,3,4,4,4,4,4,4,2,3,3,2,1
36,3,2,2,2,1,4,5,5,4,4,4,3,3,4,5,5,5,5,4,5,5,4,4,4,4,4,5,5,5,5,3,4,3,4,4,4,5,5,3
37,1,4,3,2,1,4,4,3,3,4,3,4,4,4,5,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,2,4,4,5,5,5,5,5,4
38,1,2,2,1,4,3,5,5,5,5,5,4,4,4,3,3,4,4,5,5,5,4,5,5,4,5,4,4,5,5,4,4,5,4,5,5,5,5,2
39,2,2,4,2,2,3,3,4,3,2,5,4,4,3,2,2,3,2,3,4,4,3,4,4,4,4,4,4,3,3,3,2,3,3,3,3,3,3,1
40,2,2,4,1,2,2,3,3,3,3,4,4,4,4,5,5,4,4,3,3,2,4,4,4,4,4,5,5,4,5,4,3,4,5,5,3,4,4,1
41,1,1,3,2,2,3,5,5,5,5,4,4,5,4,5,5,5,5,4,4,4,3,5,5,4,4,5,5,5,4,2,4,2,3,4,4,4,4,2
42,2,2,4,2,2,2,4,4,3,4,3,3,3,3,4,4,4,3,4,4,4,5,3,3,4,3,4,4,4,4,5,5,5,5,4,3,3,4,1
43,1,1,3,3,2,2,2,2,4,2,4,3,3,3,4,4,5,4,4,3,3,4,4,3,4,4,3,3,3,2,4,5,5,4,3,3,3,4,2
44,4,4,3,3,2,2,3,3,3,4,3,2,4,3,4,4,5,4,3,3,3,3,4,5,4,5,4,3,3,4,3,4,3,3,2,3,2,3,2
45,1,1,1,2,3,2,4,5,4,5,4,4,4,5,5,4,4,5,4,4,5,4,4,5,5,4,5,5,5,5,4,4,4,3,5,4,3,4,2
46,2,2,4,1,1,2,4,3,3,4,3,4,3,3,2,2,1,1,3,2,3,3,4,4,3,3,5,5,5,4,2,3,3,2,3,2,2,2,1
47,1,1,2,1,2,2,3,2,3,2,4,3,4,4,3,3,4,3,5,4,5,4,4,3,4,4,2,3,3,2,4,5,5,5,3,3,3,2,1
48,2,4,4,1,2,2,1,2,2,2,4,4,4,3,4,5,5,5,5,5,4,5,4,2,3,3,3,4,3,2,2,4,3,3,3,3,3,3,2
49,2,2,4,1,3,3,5,5,5,3,4,4,4,5,5,3,4,4,4,3,3,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,2
50,1,2,3,1,2,2,3,3,3,3,5,4,5,4,3,5,4,5,4,4,3,4,4,3,4,4,4,2,3,4,3,3,3,4,3,3,3,3,2
51,4,1,1,1,2,4,2,3,2,2,4,3,4,3,3,3,3,3,2,3,2,2,3,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,1
52,3,3,2,5,1,3,1,2,2,1,4,4,3,4,4,4,5,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,2
53,4,1,2,2,2,3,4,4,3,5,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,5,1,2,2,3,5,4,4,4,2
54,4,3,2,1,1,2,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,3,3,2,4,3,2,2
55,2,1,1,2,2,3,4,4,4,4,3,3,3,4,5,5,5,5,5,5,4,5,5,4,5,4,5,4,5,4,3,4,2,4,4,4,4,5,3
56,4,1,4,1,1,1,5,4,5,4,3,3,5,2,3,4,4,3,3,3,2,2,3,3,3,3,4,3,4,4,4,3,3,3,4,4,3,4,4
57,1,1,3,2,2,3,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4
58,1,2,2,2,1,1,5,5,5,5,4,4,4,4,5,5,4,4,4,4,3,4,5,5,5,5,2,3,3,3,3,3,3,2,4,4,3,3,4
59,1,2,3,2,2,4,4,4,4,4,4,3,3,4,4,4,5,4,5,5,5,4,3,3,4,4,2,3,3,3,3,3,4,3,3,3,2,2,2
60,1,1,3,2,3,4,3,3,3,3,5,5,5,5,4,4,5,5,4,4,4,3,3,3,5,4,4,4,3,3,4,3,3,3,4,4,4,5,2
61,1,3,3,5,1,2,3,2,2,3,4,4,5,4,3,2,4,3,3,3,3,3,4,3,3,2,3,3,4,4,3,4,4,3,3,3,3,3,2
62,1,2,3,4,2,2,4,3,4,3,3,3,3,2,4,4,4,4,3,3,2,2,4,3,3,3,2,3,3,3,3,4,4,5,3,3,3,4,2
63,3,2,4,2,2,3,4,4,4,4,4,3,4,4,3,4,3,4,5,4,5,5,4,5,5,5,3,3,3,3,3,4,3,3,4,3,4,3,2
64,1,2,3,2,1,2,4,4,4,4,4,4,3,5,4,3,4,4,5,5,4,4,4,4,4,4,3,4,4,4,4,5,4,5,5,4,5,5,3
65,1,2,4,2,3,3,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,4,5,3,4,3,3,5,5,5,5,2
66,2,2,4,1,1,1,4,4,4,4,3,3,2,2,3,4,4,3,4,4,4,4,5,4,4,5,3,3,3,4,4,4,4,4,2,4,3,4,2
67,1,1,2,2,2,1,5,4,4,4,5,4,4,5,3,3,4,3,4,4,4,4,3,2,3,3,4,4,5,5,4,5,4,4,4,4,4,4,3
68,3,1,4,1,2,4,5,4,5,5,5,4,5,5,3,3,3,2,2,2,3,3,4,3,3,4,3,3,4,4,3,4,3,3,2,3,3,3,3
69,1,3,1,2,2,3,3,3,4,3,3,3,3,3,4,4,4,4,3,3,3,4,2,2,2,2,3,3,3,3,4,3,4,4,3,3,4,3,1
70,5,4,4,2,2,3,3,4,4,3,4,3,5,4,2,3,3,3,5,4,5,4,4,4,3,3,5,5,5,5,4,4,4,4,3,3,4,3,2
71,3,2,3,1,1,2,3,4,4,4,3,4,4,2,3,3,4,2,5,5,4,5,1,2,2,1,4,4,4,3,3,3,5,5,3,3,3,3,2
72,1,1,4,5,1,3,4,3,3,3,4,3,4,4,4,4,3,3,5,4,4,4,4,5,4,4,4,4,4,4,3,3,3,4,4,4,3,4,3
73,1,2,4,4,3,2,4,5,4,4,3,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,5,4,5,5,1
74,3,2,4,3,2,2,3,3,3,3,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,3,2,3,3,4,3,3,3,5,3,4,4,1
75,2,1,4,2,3,3,3,4,3,4,5,5,4,5,3,5,4,4,4,3,3,3,3,2,3,3,4,5,5,4,3,4,4,4,4,3,4,4,1
76,2,1,2,4,3,2,4,4,3,3,4,3,2,4,4,4,4,3,4,3,4,4,3,3,4,4,5,5,5,5,4,3,4,3,4,4,4,3,2
77,3,2,1,1,3,2,5,4,4,4,2,2,2,2,4,3,4,4,4,4,4,5,3,3,3,3,3,5,3,3,5,4,4,5,5,3,4,4,1
78,1,2,3,3,2,2,3,3,3,4,3,4,3,4,3,3,4,4,4,3,3,3,3,3,2,3,4,5,5,4,2,3,3,3,3,4,3,4,2
79,1,1,2,1,2,3,3,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,5,5,5,5,4,3,3,3,4,5,4,5,4,4,4,4,2
80,1,1,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,4,4,4,4,4,2,3,3,3,4,5,5,5,3
81,3,1,2,1,2,3,4,3,3,4,4,3,4,4,4,4,5,5,5,5,4,5,3,3,3,3,3,4,5,5,3,2,4,3,4,4,4,4,2
82,2,2,4,4,1,2,4,4,3,4,4,4,5,4,5,5,5,4,2,3,3,3,5,4,4,5,5,5,4,4,4,4,4,3,5,4,5,5,3
83,1,1,3,4,3,2,3,5,4,4,4,4,4,4,3,3,3,3,5,5,4,5,5,4,5,5,4,4,4,4,3,4,3,4,4,4,4,5,1
84,1,1,4,1,3,3,2,3,3,2,5,4,4,4,5,5,5,5,4,3,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,1
85,1,3,2,2,2,2,3,4,4,3,3,4,3,3,3,3,4,4,3,3,3,2,5,5,5,5,4,4,3,4,2,3,2,2,4,4,3,5,2
86,1,1,4,5,1,1,3,2,2,3,2,4,3,3,2,2,2,3,5,4,4,5,3,3,3,3,4,4,4,5,2,2,4,2,3,4,3,3,3
87,2,2,4,2,2,1,4,4,3,3,4,4,4,3,4,3,3,3,5,4,4,3,5,5,5,5,3,3,4,3,2,1,2,2,4,3,3,4,2
88,2,1,3,4,3,2,4,3,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,3,5,5,5,4,4,4,5,3,5,5,5,4,2
89,4,1,3,2,3,3,4,5,5,4,4,3,4,4,4,5,5,5,5,5,5,4,4,3,4,4,4,4,5,4,4,5,4,4,5,4,4,5,2
90,2,1,4,2,1,1,4,5,5,4,3,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4
91,1,2,2,1,1,3,3,4,4,4,3,2,3,3,3,2,2,2,4,4,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,3,4,3
92,2,3,3,1,3,2,5,4,4,4,5,4,5,5,4,4,3,3,4,5,4,4,4,4,4,4,4,4,2,3,5,5,5,4,5,4,5,5,3
93,3,3,3,3,2,2,4,4,4,5,5,5,5,5,5,3,4,4,4,4,5,5,3,3,3,4,3,2,3,2,4,4,4,4,4,4,5,4,2
94,2,2,2,2,2,4,4,3,3,3,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,2
95,3,2,2,2,4,2,4,4,4,5,3,3,3,3,4,4,4,5,3,4,2,2,4,4,4,4,2,2,2,2,3,3,2,3,4,3,4,3,1
96,2,1,1,2,1,2,3,3,2,3,3,4,4,3,4,5,4,5,4,4,3,4,3,3,3,4,5,4,4,4,4,3,4,4,3,4,4,3,3
97,2,1,1,2,2,1,4,3,3,3,2,1,2,3,4,4,3,3,4,4,3,4,4,4,4,4,4,5,5,5,2,2,3,3,3,3,2,3,2
98,2,3,2,4,1,1,4,5,5,5,4,4,5,4,3,3,4,3,2,2,3,3,4,5,5,5,5,4,4,5,4,5,5,5,4,4,4,5,2
99,1,1,4,5,2,2,3,2,1,3,3,2,4,3,2,3,3,2,3,3,3,4,4,4,4,4,2,3,2,3,2,3,4,2,3,2,3,3,1
100,1,1,3,2,3,1,3,3,3,3,4,4,4,4,5,4,5,4,2,3,3,3,3,3,4,3,5,4,5,5,4,4,4,5,3,4,4,4,2
101,1,1,4,3,2,3,2,3,3,3,3,3,4,4,5,5,4,5,4,4,4,5,4,3,5,5,5,5,5,5,3,3,3,4,4,3,4,3,2
102,2,1,3,3,4,2,4,3,4,3,4,3,5,4,4,5,3,4,5,4,5,5,3,4,5,4,4,5,4,5,4,4,4,5,5,4,3,4,1
103,1,1,2,2,2,2,4,4,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,3,3
104,2,2,3,5,2,1,4,5,4,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,5,5,4,3,2
105,4,2,3,1,1,2,4,4,4,4,3,4,4,3,4,4,4,4,3,3,2,3,3,2,3,3,4,4,4,4,4,4,3,3,3,3,2,2,1
106,1,3,1,1,2,3,4,3,3,3,5,5,4,5,3,4,3,3,4,5,4,4,2,3,2,3,4,3,3,3,3,4,4,3,3,4,4,4,1
107,1,3,3,4,2,4,3,3,3,4,4,4,4,4,3,3,4,4,4,5,4,3,2,2,2,2,4,4,3,4,3,4,3,3,4,4,4,4,3
108,3,1,2,2,1,1,4,4,4,4,3,4,3,4,5,4,5,4,3,3,2,3,4,4,3,4,5,5,4,4,3,4,3,3,4,3,4,4,3
109,1,1,3,4,2,4,4,4,5,4,4,4,5,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3
110,1,2,3,4,2,2,5,5,5,5,3,4,3,4,4,4,3,3,5,4,4,4,4,4,4,4,3,3,3,3,5,4,4,5,5,4,5,5,3
111,1,2,2,1,3,2,4,3,3,4,3,3,2,3,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,3,4,4,5,3,3,4
112,1,1,1,4,2,2,4,4,3,3,5,4,5,5,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,4,4,5,5,5,4,4,4,5,2
113,4,2,4,2,3,1,3,3,3,3,4,5,4,5,4,4,4,4,4,4,3,4,3,3,3,3,5,5,5,5,3,3,3,3,4,4,5,5,2
114,3,2,3,2,1,1,2,2,3,3,4,3,4,3,3,2,3,3,3,4,4,3,4,2,4,3,4,3,4,3,5,5,4,4,3,3,2,3,3
115,2,2,1,2,1,2,4,4,4,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,3,4,3,3,5,5,4,4,5,5,5,5,3
116,3,2,4,4,2,2,4,3,3,4,2,2,3,3,5,4,5,5,4,3,4,4,3,3,3,3,5,4,4,4,3,2,3,2,3,3,2,3,1
117,3,1,1,1,2,4,5,5,5,5,4,4,3,4,3,3,3,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,2
118,1,4,3,2,1,2,3,5,4,4,4,5,4,4,5,5,5,4,3,4,4,3,4,4,3,4,4,4,4,4,5,5,4,5,3,3,4,3,2
119,4,3,4,3,3,1,5,5,5,5,3,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2
120,2,1,2,3,3,3,3,2,2,3,1,1,1,1,4,4,4,4,3,4,3,3,2,3,4,4,4,3,4,4,4,3,4,4,3,2,3,3,1
121,3,3,2,3,2,2,5,4,5,4,3,4,4,4,4,5,5,4,2,3,2,2,5,5,4,5,5,5,5,5,4,4,5,3,5,5,3,4,4
122,4,2,2,1,1,2,3,3,4,4,4,3,3,4,4,4,3,3,4,4,4,5,4,4,4,5,3,4,4,3,5,4,3,4,4,4,4,4,3
123,1,3,2,1,3,3,2,3,3,3,3,4,3,3,4,3,3,3,2,2,3,3,3,3,4,3,3,3,4,4,1,1,2,2,3,1,3,2,1
124,1,3,1,1,2,4,5,4,5,4,4,4,4,4,5,5,5,4,4,4,4,5,3,4,4,4,4,3,4,3,3,3,3,3,4,4,4,5,1
125,1,2,3,3,3,3,4,4,4,4,4,4,4,5,4,4,3,4,5,5,5,5,4,5,4,4,3,3,3,3,4,4,4,4,5,4,5,3,2
126,2,1,1,1,3,3,4,3,4,4,4,3,4,3,4,4,4,3,3,3,3,3,4,4,5,4,4,3,3,3,4,3,3,3,5,4,4,4,1
127,3,1,3,1,3,3,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,4,3,4,3,3,3,3,3,1
128,3,2,4,5,2,4,4,4,4,3,3,2,3,3,4,4,4,4,4,4,4,4,3,3,4,5,3,4,5,4,2,3,3,3,4,4,4,4,3
129,1,2,4,1,1,2,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,4,4,4,5,5,4,4,5,4,5,5,5,5,5,5,4
130,2,1,3,5,2,1,5,5,4,5,5,4,5,5,4,5,4,3,4,4,4,4,4,3,4,4,5,4,5,4,5,4,5,4,3,3,4,3,1
131,1,1,2,3,2,2,5,5,5,5,4,3,3,3,5,5,4,5,4,4,4,3,3,4,4,3,4,5,5,4,4,4,4,3,5,4,4,4,3
132,1,3,3,3,3,2,4,4,3,4,3,4,2,3,4,3,4,3,4,4,4,5,4,5,4,5,3,3,3,3,4,4,3,4,4,5,4,4,3
133,1,4,3,1,1,3,5,5,4,5,3,3,4,3,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,3,5,5,5,5,4,5,4,5,4
134,1,2,3,1,1,3,4,4,4,4,3,3,3,3,4,4,4,4,3,3,4,3,5,5,5,5,4,5,4,4,5,5,5,5,5,5,4,4,4
135,4,1,2,3,3,2,4,4,3,4,5,4,5,4,3,3,3,3,4,4,3,4,3,3,2,3,4,4,4,4,4,4,4,5,5,3,4,4,1
136,1,1,4,3,3,1,3,3,3,3,3,3,3,3,5,4,4,4,3,3,4,3,4,5,5,5,4,3,4,4,5,5,5,5,4,4,3,4,1
137,2,1,3,3,3,3,4,3,4,3,2,3,4,3,3,3,3,4,5,4,5,5,4,3,3,4,3,4,4,3,3,3,3,4,4,4,3,2,1
