ID,Ten_Doanh_Nghiep,Loai_Hinh,COST1,COST2,COST3,COL1,COL2,COL3,SPE1,SPE2,SPE3,DIG1,DIG2,DIG3,DEC1,DEC2,DEC3,DEC4
1,Công ty Xây dựng An Phong,TNHH,4,4,5,3,4,4,5,4,5,5,5,4,5,4,4,5
2,Công ty CP Đầu tư Nam Long,Cổ phần,5,5,4,4,3,4,4,5,4,5,4,5,4,5,4,5
3,Công ty Thương mại Minh Phát,TNHH,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4
4,Tập đoàn Xây lắp Hòa Bình,Cổ phần,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5
5,Công ty Cơ điện MEIKO,FDI,4,3,4,3,3,4,4,4,3,4,4,4,4,3,4,4
6,Công ty Bất động sản Thịnh Vượng,TNHH,2,3,3,2,3,2,3,3,3,3,2,3,3,2,3,3
7,Công ty XNK Nông sản Dũng Phát,TNHH,4,5,4,4,4,4,5,4,5,4,5,4,5,4,4,4
8,Công ty Kỹ thuật Số 1,Cổ phần,5,5,5,4,5,4,5,5,4,5,5,5,5,5,4,5
9,Công ty Vận tải Biển Đông,TNHH,3,4,3,3,4,3,4,3,4,4,4,3,3,4,3,3
10,Công ty Hạ tầng DTL,Cổ phần,4,4,4,4,4,4,4,5,4,5,4,5,4,4,4,4
