ID,OWNERSHIP,REVENUE,EXPERIENCE,MAIN_PRODUCT,NUM_BANKS,POSITION,COMP1,COMP2,COMP3,COMP4,SPEED1,SPEED2,SPEED3,SPEED4,DIGI1,DIGI2,DIGI3,DIGI4,REPU1,REPU2,REPU3,REPU4,RELA1,RELA2,RELA3,RELA4,STAFF1,STAFF2,STAFF3,STAFF4,COLL1,COLL2,COLL3,COLL4,DEC1,DEC2,DEC3,DEC4,WALLET_SHARE
1,1,2,4,2,2,2,4,3,3,3,2,2,2,2,2,2,2,1,4,4,4,5,1,1,1,1,1,3,1,1,2,1,1,2,2,2,2,2,1
2,1,1,1,1,3,2,4,3,3,3,5,5,5,5,4,4,3,4,3,3,4,4,4,4,4,3,4,4,3,4,3,4,3,3,3,4,3,3,1
3,4,3,4,1,2,3,4,4,4,4,3,4,3,4,5,5,5,5,4,3,4,5,4,5,4,5,3,4,3,3,3,2,4,3,4,4,4,4,3
4,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,4,5,3,5,2,2,1,1,4,2,4,4,4,3,4,3,3
5,2,2,1,3,2,4,2,2,2,3,3,1,3,3,4,5,3,4,2,2,2,2,3,4,3,2,3,3,2,3,5,4,4,5,3,3,3,3,1
6,5,2,2,1,4,4,4,1,3,4,4,3,3,3,5,4,4,4,4,3,4,3,1,2,3,2,4,4,4,4,3,2,2,3,3,3,4,1,1
7,1,2,3,1,2,3,3,3,2,4,2,2,2,2,5,2,5,4,4,5,4,5,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4,4,2
8,4,4,3,1,2,2,4,4,4,4,4,4,4,3,5,4,3,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,3
9,2,2,2,4,2,4,5,4,5,5,4,5,5,5,3,3,2,1,4,4,3,4,3,5,4,4,3,4,4,3,4,4,2,3,3,2,3,3,1
10,3,3,4,3,4,3,4,4,4,3,1,2,3,1,4,3,4,3,4,4,4,4,3,2,3,2,3,4,4,4,4,2,2,2,4,3,2,3,1
11,1,2,3,2,1,2,3,2,3,4,5,4,5,2,1,2,1,2,4,4,4,3,4,5,5,5,5,5,5,5,3,3,3,3,4,4,4,3,3
12,1,2,2,4,3,3,4,4,4,3,2,3,2,3,5,4,4,3,5,4,4,4,1,2,3,3,5,4,3,4,3,2,3,3,5,3,4,4,2
13,1,1,1,4,1,2,2,4,3,4,4,4,2,4,3,4,3,3,3,2,5,4,5,3,3,3,4,2,3,4,1,1,3,2,5,5,4,4,4
14,4,2,3,3,3,2,4,5,4,4,3,3,5,5,4,5,4,5,3,4,4,4,4,3,2,4,4,4,5,5,4,3,4,4,5,5,4,5,3
15,1,2,2,2,2,2,5,2,3,4,4,5,5,4,4,4,4,5,4,4,5,4,2,2,2,2,4,5,5,4,3,4,4,4,3,4,5,3,3
16,2,1,2,4,3,3,5,3,2,4,4,4,2,4,4,4,3,4,3,4,4,4,5,4,4,3,3,4,3,4,4,5,3,3,4,3,3,3,2
17,2,1,3,2,2,4,4,3,4,4,4,4,4,4,2,2,2,2,2,4,4,3,5,3,3,5,4,4,3,4,4,3,4,4,3,4,4,3,3
18,1,3,3,4,2,3,5,5,5,5,4,4,5,4,5,5,5,4,4,3,3,3,4,3,3,4,4,3,4,4,3,4,4,3,5,4,3,4,3
19,2,2,4,1,2,2,4,5,4,4,4,3,4,4,4,4,5,4,5,5,5,5,5,5,5,4,3,2,3,4,1,2,3,2,4,5,5,4,4
20,4,2,2,1,2,3,4,4,4,4,4,4,3,4,5,5,4,5,4,4,3,4,5,5,5,4,4,4,5,4,4,4,4,4,5,5,5,5,4
21,1,1,3,3,1,2,2,3,3,1,1,1,2,3,1,3,1,2,4,4,3,4,4,4,5,3,4,5,4,4,3,3,3,3,4,4,4,5,4
22,1,1,3,2,2,2,4,5,3,5,5,4,4,4,4,4,3,3,3,4,4,4,3,3,2,2,5,4,4,4,2,2,2,3,4,4,3,3,3
23,1,1,2,1,2,2,3,1,2,4,3,2,2,2,5,5,5,5,4,4,4,4,4,4,3,3,2,3,3,3,4,3,3,4,3,3,4,4,2
24,2,4,2,2,2,2,3,4,2,4,3,3,4,4,4,4,3,4,3,3,3,3,3,3,4,3,4,4,4,5,4,4,4,4,3,4,3,3,3
25,1,3,2,1,1,4,3,1,2,2,2,2,3,3,3,3,3,2,2,2,2,3,4,5,4,4,2,2,2,3,4,5,3,4,4,5,4,4,4
26,4,3,3,2,2,1,5,5,5,5,4,3,3,3,4,4,5,4,5,3,4,5,5,4,5,5,4,3,3,3,3,4,5,3,5,5,5,5,3
27,1,2,3,2,1,2,4,2,3,3,4,4,2,5,3,4,4,3,4,2,4,3,3,3,4,4,4,3,4,4,4,4,3,3,4,3,4,4,2
28,1,1,2,3,2,2,2,3,3,3,4,4,4,5,1,2,2,2,3,2,2,2,2,2,2,2,5,4,4,3,1,1,2,2,3,3,2,2,2
29,2,1,2,3,2,2,5,4,5,4,3,4,4,3,5,5,5,5,5,5,5,4,4,3,3,4,4,5,4,4,5,5,3,4,5,5,5,5,3
30,2,2,2,2,2,4,3,3,1,1,4,4,2,3,3,3,3,4,3,2,2,2,2,2,3,3,3,3,4,3,4,2,3,3,2,2,2,2,1
31,3,1,3,2,1,2,3,4,4,3,2,1,2,2,4,4,3,4,3,4,4,3,3,4,3,3,2,2,2,2,3,3,3,3,3,4,3,4,3
32,2,1,2,2,1,4,4,4,4,2,2,2,3,3,4,4,4,3,3,4,4,3,4,2,4,3,4,4,2,4,2,2,3,2,4,3,3,3,2
33,2,2,4,3,1,2,4,3,4,4,2,3,3,2,4,3,3,2,2,2,3,2,3,2,3,3,4,4,4,4,1,2,3,3,1,1,1,2,1
34,2,2,2,1,1,2,4,4,5,5,5,5,4,5,4,4,4,5,5,5,5,5,4,3,4,4,4,5,4,4,3,4,4,4,5,5,5,5,4
35,1,3,4,2,2,3,5,4,4,3,4,4,5,5,4,5,4,5,4,4,4,4,4,4,4,4,3,4,4,4,3,3,2,4,5,4,4,5,3
36,2,1,3,2,2,3,2,3,2,2,1,1,1,1,5,5,4,3,4,4,5,4,2,4,3,2,2,3,3,3,2,2,2,2,1,2,2,3,1
37,2,4,2,1,2,3,4,4,3,4,5,4,4,4,4,4,4,4,4,3,2,2,5,4,4,4,4,5,4,4,4,5,5,4,4,4,4,4,3
38,2,2,4,1,3,1,4,5,4,5,4,5,5,5,4,3,4,4,4,5,4,4,4,4,4,4,3,4,2,4,2,3,2,3,4,4,4,4,2
39,1,1,3,1,3,1,3,2,3,3,3,5,4,4,4,4,4,2,4,5,3,4,4,4,4,5,5,5,4,4,5,4,5,5,3,3,4,2,1
40,2,1,1,1,1,2,4,4,3,4,3,4,2,3,4,4,3,4,3,2,3,3,4,2,4,4,3,4,3,3,5,5,4,5,4,5,4,5,4
41,4,1,2,4,2,2,4,4,4,4,4,3,4,4,3,4,2,3,4,4,4,4,2,2,3,3,3,3,4,4,3,2,3,4,4,4,4,5,3
42,1,2,1,1,3,3,1,1,1,2,2,1,2,2,1,2,1,2,4,3,3,3,4,3,2,3,3,3,3,3,3,1,2,1,1,2,2,3,1
43,1,3,1,1,2,1,4,4,4,4,4,4,3,3,3,5,4,5,5,4,4,4,2,2,2,2,3,3,2,2,3,3,4,3,3,3,3,3,3
